2025-06-02 13:12:41,615 - INFO - Server started on localhost:8888
2025-06-02 13:13:24,225 - ERROR - Server error: [WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted
2025-06-02 13:13:24,225 - INFO - Server shutdown complete
2025-06-02 13:13:42,860 - INFO - New connection from ('127.0.0.1', 57481)
2025-06-02 13:13:42,860 - INFO - Client ('127.0.0.1', 57481) connected. Total clients: 1
2025-06-02 13:14:19,686 - INFO - New connection from ('127.0.0.1', 57489)
2025-06-02 13:14:19,694 - INFO - Client ('127.0.0.1', 57489) connected. Total clients: 2
2025-06-02 13:14:57,548 - INFO - Move added at (7, 12)
2025-06-02 13:15:00,675 - INFO - Move added at (7, 12)
2025-06-02 13:15:03,814 - INFO - Move added at (7, 12)
2025-06-02 13:15:06,947 - INFO - Move added at (7, 12)
2025-06-02 13:16:02,087 - INFO - Client ('127.0.0.1', 57489) disconnected
2025-06-02 13:16:02,087 - INFO - Removed client ('127.0.0.1', 57489). Total clients: 1
2025-06-02 13:16:02,087 - INFO - Connection closed for ('127.0.0.1', 57489)
2025-06-02 13:16:05,708 - INFO - Client ('127.0.0.1', 57481) disconnected
2025-06-02 13:16:05,708 - INFO - Removed client ('127.0.0.1', 57481). Total clients: 0
2025-06-02 13:16:05,708 - INFO - Connection closed for ('127.0.0.1', 57481)
2025-06-02 16:01:04,565 - INFO - Server started on localhost:8888
2025-06-02 16:02:24,004 - INFO - New connection from ('127.0.0.1', 51396)
2025-06-02 16:02:24,004 - INFO - Client ('127.0.0.1', 51396) connected. Total clients: 1
2025-06-02 16:02:51,844 - INFO - New connection from ('127.0.0.1', 51401)
2025-06-02 16:02:51,844 - INFO - Client ('127.0.0.1', 51401) connected. Total clients: 2
2025-06-02 16:04:06,017 - INFO - Client ('127.0.0.1', 51401) disconnected
2025-06-02 16:04:06,017 - INFO - Removed client ('127.0.0.1', 51401). Total clients: 1
2025-06-02 16:04:06,017 - INFO - Connection closed for ('127.0.0.1', 51401)
2025-06-02 16:04:06,958 - INFO - Client ('127.0.0.1', 51396) disconnected
2025-06-02 16:04:06,958 - INFO - Removed client ('127.0.0.1', 51396). Total clients: 0
2025-06-02 16:04:06,958 - INFO - Connection closed for ('127.0.0.1', 51396)
2025-06-02 16:04:31,508 - INFO - New connection from ('127.0.0.1', 51408)
2025-06-02 16:04:31,508 - INFO - Client ('127.0.0.1', 51408) connected. Total clients: 1
2025-06-02 16:04:50,991 - INFO - New connection from ('127.0.0.1', 51409)
2025-06-02 16:04:50,991 - INFO - Client ('127.0.0.1', 51409) connected. Total clients: 2
2025-06-02 16:08:55,247 - INFO - Client ('127.0.0.1', 51408) disconnected
2025-06-02 16:08:55,247 - INFO - Removed client ('127.0.0.1', 51408). Total clients: 1
2025-06-02 16:08:55,247 - INFO - Connection closed for ('127.0.0.1', 51408)
2025-06-02 16:08:56,997 - INFO - Client ('127.0.0.1', 51409) disconnected
2025-06-02 16:08:56,997 - INFO - Removed client ('127.0.0.1', 51409). Total clients: 0
2025-06-02 16:08:56,997 - INFO - Connection closed for ('127.0.0.1', 51409)
2025-06-02 16:11:19,437 - INFO - Server started on localhost:8888
2025-06-02 16:12:03,408 - INFO - New connection from ('127.0.0.1', 51459)
2025-06-02 16:12:03,408 - INFO - Client ('127.0.0.1', 51459) connected. Total clients: 1
2025-06-02 16:12:23,704 - INFO - New connection from ('127.0.0.1', 51461)
2025-06-02 16:12:23,704 - INFO - Client ('127.0.0.1', 51461) connected. Total clients: 2
2025-06-02 16:13:52,715 - INFO - Move added at (7, 12)
2025-06-02 16:13:55,847 - INFO - Move added at (7, 12)
2025-06-02 16:13:58,978 - INFO - Move added at (7, 12)
2025-06-02 16:14:02,104 - INFO - Move added at (7, 12)
2025-06-02 16:14:05,237 - INFO - Move added at (7, 12)
2025-06-02 16:14:08,371 - INFO - Move added at (7, 12)
2025-06-02 16:14:11,507 - INFO - Move added at (7, 12)
2025-06-02 16:14:14,639 - INFO - Move added at (7, 12)
